| 6h return | daily fractional period | daily return | weekly fractional period | weekly return | monthly fractional period | monthly return | annual fractional period | annual return |
| 0.007444 | 0.250000 | 0.029778 | 0.051587 | 0.144309 | 0.011905 | 0.625337 | 0.000684 | 10.876179 |
| 0.014339 | 0.250000 | 0.057357 | 0.051587 | 0.277962 | 0.011905 | 1.204503 | 0.000684 | 20.949318 |
| 0.002940 | 0.250000 | 0.011761 | 0.051587 | 0.056995 | 0.011905 | 0.246980 | 0.000684 | 4.295605 |
| -0.016770 | 0.250000 | -0.067080 | 0.051587 | -0.325078 | 0.011905 | -1.408673 | 0.000684 | -24.500353 |
| 0.005973 | 0.250000 | 0.023893 | 0.051587 | 0.115791 | 0.011905 | 0.501763 | 0.000684 | 8.726908 |
| -0.008897 | 0.250000 | -0.035588 | 0.051587 | -0.172463 | 0.011905 | -0.747338 | 0.000684 | -12.998071 |
| -0.003557 | 0.250000 | -0.014230 | 0.051587 | -0.068959 | 0.011905 | -0.298821 | 0.000684 | -5.197249 |
| -0.020288 | 0.250000 | -0.081152 | 0.051587 | -0.393276 | 0.011905 | -1.704195 | 0.000684 | -29.640210 |
| 0.001778 | 0.250000 | 0.007113 | 0.051587 | 0.034468 | 0.011905 | 0.149363 | 0.000684 | 2.597792 |
| -0.053451 | 0.250000 | -0.213804 | 0.051587 | -1.036126 | 0.011905 | -4.489879 | 0.000684 | -78.090221 |
| 0.004115 | 0.250000 | 0.016461 | 0.051587 | 0.079772 | 0.011905 | 0.345677 | 0.000684 | 6.012187 |
| 0.001466 | 0.250000 | 0.005865 | 0.051587 | 0.028425 | 0.011905 | 0.123175 | 0.000684 | 2.142318 |
| 0.012843 | 0.250000 | 0.051370 | 0.051587 | 0.248948 | 0.011905 | 1.078776 | 0.000684 | 18.762607 |
| -0.007530 | 0.250000 | -0.030121 | 0.051587 | -0.145973 | 0.011905 | -0.632548 | 0.000684 | -11.001589 |
| -0.005848 | 0.250000 | -0.023392 | 0.051587 | -0.113364 | 0.011905 | -0.491242 | 0.000684 | -8.543926 |
| -0.016223 | 0.250000 | -0.064892 | 0.051587 | -0.314477 | 0.011905 | -1.362735 | 0.000684 | -23.701366 |
| -0.030090 | 0.250000 | -0.120361 | 0.051587 | -0.583289 | 0.011905 | -2.527588 | 0.000684 | -43.961067 |
| 0.006440 | 0.250000 | 0.025761 | 0.051587 | 0.124844 | 0.011905 | 0.540990 | 0.000684 | 9.409162 |
